Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,7,4,0,2,0,7,0,39,8,4.875
P4,Wolves,8,3,2,2,1,7,2,63,8,7.875
Mowwwgli,Wolves,9,6,3,4,1,7,0,45,8,5.625
Shinka,Wolves,5,3,0,4,0,7,0,24,8,3.0
Deadshot,Wolves,6,2,0,5,1,7,0,25,8,3.125
Adrian,Secret,12,6,0,7,1,4,2,55,11,5.0
Gruby,Secret,8,3,0,8,0,4,0,21,11,1.9090909090909092
Savage,Secret,6,0,3,10,3,4,1,16,11,1.4545454545454546
Jume,Secret,5,1,0,10,1,4,0,0,11,0.0
Miracle,Secret,7,3,2,10,1,4,0,12,11,1.0909090909090908
Leongids,Fnatic,0,0,0,0,0,0,0,0,0,0
Tyrant,Fnatic,0,0,0,0,0,0,0,0,0,0
Jigsaw,Fnatic,0,0,0,0,0,0,0,0,0,0
Deapek,Fnatic,0,0,0,0,0,0,0,0,0,0
Jeggz,Fnatic,0,0,0,0,0,0,0,0,0,0
Pasha,Virtus Pro,8,4,3,9,2,5,0,21,12,1.75
Joystick,Virtus Pro,7,3,2,10,1,5,0,14,12,1.1666666666666667
Dan,Virtus Pro,6,4,0,9,1,5,0,7,12,0.5833333333333334
Always,Virtus Pro,11,4,1,10,1,5,0,31,12,2.5833333333333335
Sheppard,Virtus Pro,4,3,0,8,1,5,3,25,12,2.0833333333333335
Azzr,ITB,10,4,5,7,0,7,1,57,12,4.75
Creedz,ITB,19,7,1,6,0,7,0,86,12,7.166666666666667
Noa,ITB,5,4,0,7,2,7,1,18,12,1.5
Kendrew,ITB,3,1,0,9,3,7,2,11,12,0.9166666666666666
Oscr,ITB,9,6,0,7,1,7,0,30,12,2.5
Shaiiko,BDS,6,1,0,8,2,3,0,7,10,0.7
Brid,BDS,3,1,0,8,2,3,1,0,10,0.0
Likefac,BDS,7,6,0,8,2,3,0,7,10,0.7
Yuzus,BDS,6,2,1,8,1,3,0,10,10,1.0
Solotov,BDS,3,3,0,9,2,3,0,-13,10,-1.3
Kanto,Wylde,6,3,1,7,1,1,0,8,8,1.0
Nelo,Wylde,2,0,0,7,0,1,0,-9,8,-1.125
Teb,Wylde,4,1,1,7,1,1,0,0,8,0.0
Lollo,Wylde,3,2,0,7,2,1,0,-10,8,-1.25
Pacbull,Wylde,2,0,1,7,1,1,0,-9,8,-1.125
Skyz,Ence,8,5,4,4,0,7,0,45,10,4.5
Jaks,Ence,3,2,1,5,1,7,0,12,10,1.2
Nayqo,Ence,11,4,1,7,0,7,0,46,10,4.6
Frenchy,Ence,0,0,0,0,0,7,0,14,10,1.4
Raikoss,Ence,13,5,2,5,0,7,0,63,10,6.3
Alemao,G2,5,3,1,7,1,7,0,15,11,1.3636363636363635
Benja,G2,9,4,1,9,1,7,0,28,11,2.5454545454545454
Doki,G2,9,4,1,8,2,7,0,29,11,2.6363636363636362
Uuno,G2,12,6,3,8,0,7,0,50,11,4.545454545454546
Virtue,G2,10,2,0,6,1,7,0,42,11,3.8181818181818183
Azoxx,Ence,7,4,1,5,0,7,0,32,10,3.2
