Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Biboo,Wolves,8,7,0,9,0,8,1,30,15,2.0
P4,Wolves,18,6,2,8,1,8,0,78,15,5.2
Mowwwgli,Wolves,6,4,1,13,5,8,0,-5,15,-0.3333333333333333
Shinka,Wolves,8,2,1,11,1,8,1,29,15,1.9333333333333333
Deadshot,Wolves,15,7,3,12,1,8,0,52,15,3.466666666666667
Adrian,Secret,5,2,0,8,1,7,1,19,12,1.5833333333333333
Gruby,Secret,6,5,2,7,3,7,0,16,12,1.3333333333333333
Savage,Secret,13,6,0,8,1,7,0,47,12,3.9166666666666665
Jume,Secret,9,4,1,8,2,7,0,29,12,2.4166666666666665
Miracle,Secret,9,6,1,8,1,7,0,29,12,2.4166666666666665
Leongids,Fnatic,8,4,1,11,1,8,0,19,14,1.3571428571428572
Tyrant,Fnatic,6,1,2,11,2,8,0,12,14,0.8571428571428571
Jigsaw,Fnatic,9,5,2,8,2,8,0,32,14,2.2857142857142856
Deapek,Fnatic,14,9,1,8,0,8,2,71,14,5.071428571428571
Jeggz,Fnatic,10,4,1,7,2,8,0,39,14,2.7857142857142856
Pasha,Virtus Pro,8,2,1,10,0,6,0,22,14,1.5714285714285714
Joystick,Virtus Pro,13,4,1,8,1,6,0,49,14,3.5
Dan,Virtus Pro,9,2,1,10,3,6,0,21,14,1.5
Always,Virtus Pro,7,4,2,11,2,6,1,18,14,1.2857142857142858
Sheppard,Virtus Pro,9,4,2,9,1,6,1,36,14,2.5714285714285716
Azzr,ITB,7,3,2,9,1,5,0,17,12,1.4166666666666667
Creedz,ITB,8,2,1,7,1,5,0,27,12,2.25
Noa,ITB,5,2,2,10,0,5,0,7,12,0.5833333333333334
Kendrew,ITB,12,7,2,8,1,5,1,49,12,4.083333333333333
Oscr,ITB,7,4,1,8,1,5,1,25,12,2.0833333333333335
Shaiiko,BDS,0,0,0,0,0,0,0,0,0,0
Brid,BDS,0,0,0,0,0,0,0,0,0,0
Likefac,BDS,0,0,0,0,0,0,0,0,0,0
Yuzus,BDS,0,0,0,0,0,0,0,0,0,0
Solotov,BDS,0,0,0,0,0,0,0,0,0,0
Kanto,Wylde,5,1,0,9,1,2,0,-1,9,-0.1111111111111111
Nelo,Wylde,7,4,2,7,2,2,0,14,9,1.5555555555555556
Teb,Wylde,4,2,0,7,2,2,0,-3,9,-0.3333333333333333
Lollo,Wylde,5,2,1,8,0,2,1,13,9,1.4444444444444444
Pacbull,Wylde,8,3,0,7,1,2,0,18,9,2.0
Skyz,Ence,15,7,1,11,1,7,1,57,15,3.8
Jaks,Ence,13,4,2,11,0,7,0,46,15,3.066666666666667
Nayqo,Ence,5,3,2,11,3,7,1,9,15,0.6
Frenchy,Ence,0,0,0,0,0,7,0,14,15,0.9333333333333333
Raikoss,Ence,11,6,2,11,0,7,0,34,15,2.2666666666666666
Alemao,G2,10,4,2,5,1,7,1,55,9,6.111111111111111
Benja,G2,6,2,1,6,0,7,0,26,9,2.888888888888889
Doki,G2,5,1,1,7,2,7,0,15,9,1.6666666666666667
Uuno,G2,6,3,0,6,0,7,0,23,9,2.5555555555555554
Virtue,G2,10,5,1,4,0,7,1,57,9,6.333333333333333
