Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Shaiiko,BDS,23,8,4,18,3,13,0,81,26,3.1153846153846154
Brid,BDS,15,5,1,16,0,13,2,66,26,2.5384615384615383
Likefac,BDS,22,9,5,18,4,13,0,75,26,2.8846153846153846
Solotov,BDS,15,5,3,21,2,13,0,35,26,1.3461538461538463
Yuzus,BDS,15,4,1,16,3,13,0,45,26,1.7307692307692308
Azzr,ITB,19,6,3,15,3,12,0,68,23,2.9565217391304346
Kendrew,ITB,10,6,0,18,7,12,2,16,23,0.6956521739130435
Noa,ITB,16,4,3,14,1,12,0,62,23,2.6956521739130435
Creedz,ITB,25,11,2,15,1,12,0,95,23,4.130434782608695
Oscr,ITB,17,8,1,15,3,12,0,52,23,2.260869565217391
Savage,Secret,19,8,3,15,5,14,0,66,22,3.0
Gruby,Secret,17,9,2,17,0,14,0,57,22,2.590909090909091
Miracle,Secret,18,10,4,18,3,14,1,64,22,2.909090909090909
Jume,Secret,21,6,2,14,1,14,1,95,22,4.318181818181818
Adrian,Secret,15,7,1,13,1,14,0,57,22,2.590909090909091
Dfuzr,Beastcoast,10,4,3,17,4,11,0,15,21,0.7142857142857143
Gaveni,Beastcoast,21,7,3,16,2,11,1,82,21,3.9047619047619047
Gunnar,Beastcoast,13,6,4,14,1,11,0,45,21,2.142857142857143
Hotan,Beastcoast,13,7,1,12,1,11,8,108,21,5.142857142857143
Spiritz,Beastcoast,19,10,1,13,1,11,0,68,21,3.238095238095238
Spoit,M80,23,8,6,21,4,13,0,74,26,2.8461538461538463
Ctzn,M80,20,10,3,17,0,13,1,79,26,3.0384615384615383
Cameraman,M80,18,6,2,18,4,13,0,52,26,2.0
Kyno,M80,11,2,2,23,2,13,1,18,26,0.6923076923076923
Nudl,M80,20,8,1,16,2,13,2,84,26,3.230769230769231
Njr,DarkZero,28,12,1,16,0,12,0,106,23,4.608695652173913
Panba,DarkZero,13,6,0,15,4,12,0,30,23,1.3043478260869565
Canadian,DarkZero,8,0,3,15,4,12,5,57,23,2.4782608695652173
Beaulo,DarkZero,17,3,5,19,2,12,0,55,23,2.391304347826087
Nafe,DarkZero,17,10,3,16,1,12,0,55,23,2.391304347826087
Cyber,FaZe,15,4,2,18,5,10,1,39,22,1.7727272727272727
Soulz,FaZe,18,13,2,16,2,10,0,49,22,2.227272727272727
Vitaking,FaZe,18,8,3,15,2,10,1,67,22,3.0454545454545454
Handy,FaZe,19,6,1,16,2,10,1,67,22,3.0454545454545454
Kds,FaZe,13,6,2,15,1,10,1,44,22,2.0
Arthur,E1,7,1,0,20,3,10,1,-4,25,-0.16
Flastry,E1,20,6,3,18,0,10,1,74,25,2.96
