Player,Team,Kills,Body Shot Kills,Entry Kills,Deaths,Entry Deaths,Round Wins,Plants,Points,Rounds,PPR
Asphy,Bleed,0,0,0,0,0,0,0,0,0,0
Hoven,Bleed,0,0,0,0,0,0,0,0,0,0
Mentalist,Bleed,0,0,0,0,0,0,0,0,0,0
Reeps,Bleed,0,0,0,0,0,0,0,0,0,0
Terdsta,Bleed,0,0,0,0,0,0,0,0,0,0
Brendo,Bliss,0,0,0,0,0,0,0,0,0,0
Fishoguy,Bliss,0,0,0,0,0,0,0,0,0,0
Odah,Bliss,0,0,0,0,0,0,0,0,0,0
Sageon,Bliss,0,0,0,0,0,0,0,0,0,0
Wettables,Bliss,0,0,0,0,0,0,0,0,0,0
Beaulo,DarkZero,45,21,6,34,3,31,3,194,54,3.5925925925925926
Canadian,DarkZero,32,20,4,35,3,31,3,123,54,2.2777777777777777
Nafe,DarkZero,45,20,5,28,4,31,4,217,54,4.018518518518518
Njr,DarkZero,55,28,5,32,1,31,1,229,54,4.2407407407407405
Panba,DarkZero,35,14,15,39,8,31,0,120,54,2.2222222222222223
Coted,Dplus,0,0,0,0,0,0,0,0,0,0
Dmaly,Dplus,0,0,0,0,0,0,0,0,0,0
Soldier,Dplus,0,0,0,0,0,0,0,0,0,0
Woogiman,Dplus,0,0,0,0,0,0,0,0,0,0
Yass,Dplus,0,0,0,0,0,0,0,0,0,0
Jlad,Falcons,0,0,0,0,0,0,0,0,0,0
Madskills,Falcons,0,0,0,0,0,0,0,0,0,0
Okillz,Falcons,0,0,0,0,0,0,0,0,0,0
P9,Falcons,0,0,0,0,0,0,0,0,0,0
Quibz,Falcons,0,0,0,0,0,0,0,0,0,0
Cyber,FaZe,0,0,0,0,0,40,0,80,71,1.1267605633802817
Handy,FaZe,49,19,4,45,6,40,2,183,71,2.5774647887323945
Kds,FaZe,53,24,5,49,7,40,1,178,71,2.507042253521127
Soulz,FaZe,70,25,14,45,2,40,1,302,71,4.253521126760563
Vitaking,FaZe,41,23,4,46,3,40,5,166,71,2.3380281690140845
Arukaze,FearX,0,0,0,0,0,0,0,0,0,0
Demic,FearX,0,0,0,0,0,0,0,0,0,0
Goodboy,FearX,0,0,0,0,0,0,0,0,0,0
Mephi,FearX,0,0,0,0,0,0,0,0,0,0
Rin,FearX,0,0,0,0,0,0,0,0,0,0
Bgman,Fury,24,14,1,25,3,15,3,81,33,2.4545454545454546
Dark,Fury,18,4,3,26,9,15,0,26,33,0.7878787878787878
I9,Fury,22,12,3,24,2,15,0,58,33,1.7575757575757576
Krit,Fury,27,14,5,27,2,15,0,76,33,2.303030303030303
Lycolis,Fury,15,6,0,23,4,15,1,30,33,0.9090909090909091
Alemao,G2,25,9,0,29,4,16,0,53,37,1.4324324324324325
Benja,G2,16,6,4,34,8,16,1,4,37,0.10810810810810811
Doki,G2,39,14,2,27,3,16,0,130,37,3.5135135135135136
Uuno,G2,26,13,2,29,5,16,3,80,37,2.1621621621621623
Virtue,G2,26,14,2,26,6,16,0,62,37,1.6756756756756757
Hashom,Geekay,0,0,0,0,0,0,0,0,0,0
Srsly,Geekay,0,0,0,0,0,0,0,0,0,0
Nudl,Geekay,0,0,0,0,0,0,0,0,0,0
Trixd,Geekay,0,0,0,0,0,0,0,0,0,0
Xke,Geekay,0,0,0,0,0,0,0,0,0,0
Lagonis,Liquid,7,3,2,18,2,5,1,-4,19,-0.21052631578947367
Nesk,Liquid,8,2,1,17,5,5,1,-3,19,-0.15789473684210525
Paluh,Liquid,10,5,0,18,1,5,0,-1,19,-0.05263157894736842
Resetz,Liquid,13,8,0,14,0,5,1,33,19,1.736842105263158
Volpz,Liquid,8,2,2,17,6,5,0,-11,19,-0.5789473684210527
Cameraman,LOS,7,3,1,26,2,15,0,-18,34,-0.5294117647058824
Dash,LOS,30,18,5,26,7,15,0,80,34,2.3529411764705883
Dotz,LOS,16,7,0,27,4,15,3,38,34,1.1176470588235294
Lobin,LOS,23,11,2,26,2,15,1,64,34,1.8823529411764706
Maia,LOS,29,12,4,25,6,15,0,84,34,2.4705882352941178
Dias,M80,0,0,0,0,0,0,0,0,0,0
Gmz,M80,0,0,0,0,0,0,0,0,0,0
Iconic,M80,0,0,0,0,0,0,0,0,0,0
Spoit,M80,0,0,0,0,0,0,0,0,0,0
Yoggah,M80,0,0,0,0,0,0,0,0,0,0
Kondz,NiP,30,12,8,42,6,24,5,104,54,1.9259259259259258
Muzi,NiP,49,18,7,39,4,24,0,164,54,3.037037037037037
Pino,NiP,33,19,4,34,7,24,1,94,54,1.7407407407407407
Psycho,NiP,34,21,3,38,5,24,0,79,54,1.462962962962963
Wizard,NiP,44,20,8,30,2,24,2,186,54,3.4444444444444446
Fishlike,Scarz,0,0,0,0,0,0,0,0,0,0
Pyon,Scarz,0,0,0,0,0,0,0,0,0,0
Rec,Scarz,0,0,0,0,0,0,0,0,0,0
Taiyou,Scarz,0,0,0,0,0,0,0,0,0,0
Washoy,Scarz,0,0,0,0,0,0,0,0,0,0
Ambi,Soniqs,16,6,2,11,3,14,0,67,19,3.526315789473684
Ctzn,Soniqs,15,9,0,8,0,14,0,70,19,3.6842105263157894
Geo,Soniqs,17,15,3,12,2,14,1,72,19,3.789473684210526
Gryxr,Soniqs,17,8,6,10,1,14,0,85,19,4.473684210526316
Rexen,Soniqs,13,10,1,10,1,14,0,53,19,2.789473684210526
Ashn,SSG,34,11,2,26,5,18,0,111,35,3.1714285714285713
Forrest,SSG,18,9,4,29,3,18,4,64,35,1.8285714285714285
Fultz,SSG,19,11,2,26,4,18,0,38,35,1.0857142857142856
Hotan,SSG,18,9,3,24,5,18,0,41,35,1.1714285714285715
J90,SSG,33,20,3,23,4,18,1,118,35,3.3714285714285714
Always,Virtus Pro,13,5,0,12,2,15,1,58,21,2.761904761904762
Dan,Virtus Pro,29,11,8,11,5,15,0,137,21,6.523809523809524
Joystick,Virtus Pro,13,4,2,16,1,15,0,45,21,2.142857142857143
Pasha,Virtus Pro,15,7,1,10,1,15,1,76,21,3.619047619047619
Sheppard,Virtus Pro,5,1,0,14,1,15,1,18,21,0.8571428571428571
Felipox,W7M,22,14,4,32,4,19,0,38,41,0.926829268292683
Herdz,W7M,33,9,5,35,4,19,0,91,41,2.2195121951219514
Jv92,W7M,22,11,4,31,4,19,2,60,41,1.4634146341463414
Kheyze,W7M,50,21,9,27,4,19,0,196,41,4.780487804878049
Nade,W7M,21,10,1,28,2,19,4,79,41,1.9268292682926829
Biboo,Wolves,43,18,2,46,4,27,1,117,60,1.95
Deadshot,Wolves,34,12,7,47,9,27,0,67,60,1.1166666666666667
Mowwwgli,Wolves,52,24,8,51,11,27,1,139,60,2.316666666666667
P4,Wolves,36,18,4,44,7,27,0,78,60,1.3
Shinka,Wolves,41,20,4,40,4,27,7,175,60,2.9166666666666665
